scenario_id,scenario_type,test_user,repeat,device_familiar,network_location_consistent,access_time_consistent,expected_score,expected_risk,primary_credentials_valid,notes
S01-U01-R1,C01,test_user_01,1,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S02-U04-R2,C02,test_user_04,2,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U04-R3,C02,test_user_04,3,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U05-R1,C02,test_user_05,1,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U05-R2,C02,test_user_05,2,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U05-R3,C02,test_user_05,3,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U01-R1,C03,test_user_01,1,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U01-R2,C03,test_user_01,2,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U01-R3,C03,test_user_01,3,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U02-R1,C03,test_user_02,1,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U02-R2,C03,test_user_02,2,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U02-R3,C03,test_user_02,3,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U03-R1,C03,test_user_03,1,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U03-R2,C03,test_user_03,2,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U03-R3,C03,test_user_03,3,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U04-R1,C03,test_user_04,1,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U04-R2,C03,test_user_04,2,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U04-R3,C03,test_user_04,3,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U05-R1,C03,test_user_05,1,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U05-R2,C03,test_user_05,2,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S03-U05-R3,C03,test_user_05,3,1,0,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U01-R1,C04,test_user_01,1,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U01-R2,C04,test_user_01,2,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U01-R3,C04,test_user_01,3,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U02-R1,C04,test_user_02,1,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U02-R2,C04,test_user_02,2,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U02-R3,C04,test_user_02,3,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U03-R1,C04,test_user_03,1,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U03-R2,C04,test_user_03,2,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U03-R3,C04,test_user_03,3,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U04-R1,C04,test_user_04,1,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U04-R2,C04,test_user_04,2,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U04-R3,C04,test_user_04,3,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U05-R1,C04,test_user_05,1,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U05-R2,C04,test_user_05,2,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S04-U05-R3,C04,test_user_05,3,1,1,0,1,LOW,1,Synthetic controlled scenario; no real user data.
S05-U01-R1,C05,test_user_01,1,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U01-R2,C05,test_user_01,2,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U01-R3,C05,test_user_01,3,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U02-R1,C05,test_user_02,1,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U02-R2,C05,test_user_02,2,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U02-R3,C05,test_user_02,3,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U03-R1,C05,test_user_03,1,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U03-R2,C05,test_user_03,2,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U03-R3,C05,test_user_03,3,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U04-R1,C05,test_user_04,1,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U04-R2,C05,test_user_04,2,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U04-R3,C05,test_user_04,3,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U05-R1,C05,test_user_05,1,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U05-R2,C05,test_user_05,2,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S05-U05-R3,C05,test_user_05,3,0,0,1,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U01-R1,C06,test_user_01,1,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U01-R2,C06,test_user_01,2,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U01-R3,C06,test_user_01,3,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U02-R1,C06,test_user_02,1,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U02-R2,C06,test_user_02,2,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U02-R3,C06,test_user_02,3,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U03-R1,C06,test_user_03,1,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U03-R2,C06,test_user_03,2,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U03-R3,C06,test_user_03,3,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U04-R1,C06,test_user_04,1,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U04-R2,C06,test_user_04,2,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U04-R3,C06,test_user_04,3,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U05-R1,C06,test_user_05,1,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U05-R2,C06,test_user_05,2,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S06-U05-R3,C06,test_user_05,3,0,1,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U01-R1,C07,test_user_01,1,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U01-R2,C07,test_user_01,2,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U01-R3,C07,test_user_01,3,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U02-R1,C07,test_user_02,1,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U02-R2,C07,test_user_02,2,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U02-R3,C07,test_user_02,3,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U03-R1,C07,test_user_03,1,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U03-R2,C07,test_user_03,2,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U03-R3,C07,test_user_03,3,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U04-R1,C07,test_user_04,1,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U04-R2,C07,test_user_04,2,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U04-R3,C07,test_user_04,3,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U05-R1,C07,test_user_05,1,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U05-R2,C07,test_user_05,2,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S07-U05-R3,C07,test_user_05,3,1,0,0,2,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U01-R1,C08,test_user_01,1,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U01-R2,C08,test_user_01,2,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U01-R3,C08,test_user_01,3,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U02-R1,C08,test_user_02,1,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U02-R2,C08,test_user_02,2,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U02-R3,C08,test_user_02,3,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U03-R1,C08,test_user_03,1,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U03-R2,C08,test_user_03,2,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U03-R3,C08,test_user_03,3,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U04-R1,C08,test_user_04,1,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U04-R2,C08,test_user_04,2,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U04-R3,C08,test_user_04,3,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U05-R1,C08,test_user_05,1,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U05-R2,C08,test_user_05,2,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
S08-U05-R3,C08,test_user_05,3,0,0,0,3,ELEVATED,1,Synthetic controlled scenario; no real user data.
