scenario_id,expected_risk,static_step_up,adaptive_step_up,static_decision_latency_ms,adaptive_decision_latency_ms,notes
S04-U05-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U05-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U01-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U01-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U01-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U02-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U02-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U02-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U03-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U03-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U03-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U04-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U04-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U04-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U05-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U05-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S05-U05-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U01-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U01-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U01-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U02-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U02-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U02-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U03-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U03-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U03-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U04-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U04-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U04-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U05-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U05-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S06-U05-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U01-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U01-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U01-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U02-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U02-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U02-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U03-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U03-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U03-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U04-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U04-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U04-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U05-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U05-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S07-U05-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U01-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U01-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U01-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U02-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U02-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U02-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U03-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U03-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U03-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U04-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U04-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U04-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U05-R1,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U05-R2,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S08-U05-R3,ELEVATED,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
